round,accuracy,elapsed_time,comm_time,round_time
1,0.0957,70.00000047683716,0,70
2,0.1002,81.00000047683716,0,11
3,0.1302,92.00000047683716,0,15
4,0.1015,103.00000047683716,0,13
5,0.1219,114.00000047683716,0,23
6,0.1965,125.00000047683716,0,16
7,0.2419,136.00000047683716,0,13
8,0.1801,147.00000047683716,0,70
9,0.2491,151.00000047683716,0,70
10,0.3291,160.00000047683716,0,13
11,0.2901,169.00000047683716,0,18
12,0.2974,180.00000047683716,0,13
13,0.3287,189.00000047683716,0,29
14,0.3548,195.00000047683716,0,15
15,0.3729,204.00000047683716,0,15
16,0.3466,215.00000047683716,0,13
17,0.3546,226.00000047683716,0,23
18,0.4185,237.00000047683716,0,15
19,0.4067,248.00000047683716,0,29
20,0.39,259.00000047683716,0,19
21,0.3936,270.00000047683716,0,18
22,0.4113,281.00000047683716,0,70
23,0.4066,292.00000047683716,0,17
24,0.4196,303.00000047683716,0,70
25,0.4197,314.00000047683716,0,21
26,0.4056,325.00000047683716,0,39
27,0.4207,336.00000047683716,0,70
28,0.4457,347.00000047683716,0,21
29,0.4585,358.00000047683716,0,70
30,0.4288,369.00000047683716,0,17
31,0.4045,380.00000047683716,0,70
32,0.4191,391.00000047683716,0,24
33,0.4091,402.00000047683716,0,21
34,0.4198,413.00000047683716,0,39
35,0.4657,417.00000047683716,0,70
36,0.4701,425.00000047683716,0,12
37,0.4616,432.00000047683716,0,15
38,0.4412,442.00000047683716,0,17
39,0.4344,446.00000047683716,0,14
40,0.4296,457.00000047683716,0,14
41,0.4216,468.00000047683716,0,21
42,0.4611,479.00000047683716,0,12
43,0.4035,490.00000047683716,0,20
44,0.4068,501.00000047683716,0,13
45,0.4454,512.0000004768372,0,70
46,0.4365,523.0000004768372,0,70
47,0.4253,531.0000004768372,0,30
48,0.4352,542.0000004768372,0,12
49,0.4927,553.0000004768372,0,16
50,0.4507,564.0000004768372,0,18
51,0.4836,575.0000004768372,0,47
52,0.4903,586.0000004768372,0,29
53,0.4687,597.0000004768372,0,35
54,0.5062,608.0000004768372,0,24
55,0.5059,619.0000004768372,0,21
56,0.4948,630.0000004768372,0,70
57,0.463,641.0000004768372,0,70
58,0.468,652.0000004768372,0,12
59,0.4674,663.0000004768372,0,70
60,0.4312,674.0000004768372,0,15
61,0.4599,685.0000004768372,0,23
62,0.4516,696.0000004768372,0,16
63,0.4993,707.0000004768372,0,70
64,0.4823,718.0000004768372,0,24
65,0.5162,729.0000004768372,0,14
66,0.4778,740.0000004768372,0,18
67,0.4886,751.0000004768372,0,70
68,0.5279,763.0000004768372,0,28
69,0.4933,774.0000004768372,0,30
70,0.5041,785.0000004768372,0,70
71,0.5024,796.0000004768372,0,70
72,0.5155,802.0000004768372,0,70
73,0.4746,813.0000004768372,0,15
74,0.5204,824.0000004768372,0,19
75,0.4913,835.0000004768372,0,16
76,0.531,846.0000004768372,0,18
77,0.5283,857.0000004768372,0,17
78,0.5275,868.0000004768372,0,18
79,0.5157,879.0000004768372,0,70
80,0.525,890.0000004768372,0,70
81,0.5492,901.0000004768372,0,12
82,0.5396,912.0000004768372,0,30
83,0.5128,923.0000004768372,0,24
84,0.5321,934.0000004768372,0,14
85,0.5018,945.0000004768372,0,70
86,0.4465,956.0000004768372,0,39
87,0.5343,967.0000004768372,0,28
88,0.5214,978.0000004768372,0,70
89,0.5318,989.0000004768372,0,70
90,0.526,1000.0000004768372,0,30
91,0.5169,1011.0000004768372,0,14
92,0.5419,1022.0000004768372,0,70
93,0.479,1033.0000004768372,0,11
94,0.5423,1044.0000004768372,0,70
95,0.5172,1055.0000004768372,0,70
